代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收
300198,纳川股份,2.92,20.16%,0.49,2641634,755202937.78,12.35%,2.92,2.62,2.62,2.43
300871,回盛生物,17.5,20.03%,2.92,291112,499638530.94,8.5%,17.5,16.26,16.83,14.58
300967,晓鸣股份,19.06,20.03%,3.18,244461,429907548.93,22.36%,19.06,15.51,15.51,15.88
300421,力星股份,18.89,20.01%,3.15,475477,856255142.42,21.98%,18.89,15.43,15.62,15.74
688591,泰凌微,41.28,20.0%,6.88,306442,1242172402.0,10.09%,41.28,37.81,38.2,34.4
300995,奇德新材,23.28,20.0%,3.88,68965,156881417.16,11.13%,23.28,21.12,21.12,19.4
300927,江天化学,29.88,20.0%,4.98,275450,742214038.54,18.88%,29.88,25.18,25.3,24.9
300809,华辰装备,48.72,20.0%,8.12,285911,1299195199.33,21.48%,48.72,40.0,41.0,40.6
300611,美力科技,32.76,20.0%,5.46,655524,2032795206.69,19.19%,32.76,27.52,27.52,27.3
300477,合纵科技,3.6,20.0%,0.6,1908565,657012587.88,20.0%,3.6,3.0,3.06,3.0
301279,金道科技,28.15,19.99%,4.69,73929,200583609.36,20.29%,28.15,23.39,23.72,23.46
300643,万通智控,17.66,19.97%,2.94,337199,557572964.69,20.79%,17.66,14.6,14.75,14.72
300125,ST聆达,8.62,16.49%,1.22,386744,314686576.56,19.86%,8.88,7.41,7.52,7.4
300180,华峰超纤,7.63,15.61%,1.03,3755560,2832131785.13,20.61%,7.92,6.56,6.6,6.6
301057,汇隆新材,16.03,14.91%,2.08,174281,274320315.32,16.34%,16.7,14.42,14.42,13.95
688583,思看科技,118.97,13.18%,13.85,30551,349645852.0,14.94%,120.0,104.3,104.3,105.12
301038,深水规院,21.9,13.12%,2.54,159035,332949311.36,17.05%,22.38,19.08,19.25,19.36
300819,聚杰微纤,32.15,11.9%,3.42,178969,555693643.64,19.04%,33.47,28.0,28.0,28.73
301395,仁信新材,13.18,11.79%,1.39,106269,134292625.32,13.74%,13.28,11.66,11.78,11.79
301137,哈焊华通,27.1,11.61%,2.82,337214,873471411.94,17.83%,28.04,23.71,25.5,24.28
301298,东利机械,19.65,11.33%,2.0,234523,437530801.15,11.84%,19.89,17.8,17.86,17.65
301367,怡和嘉业,72.08,11.23%,7.28,56163,397324426.14,15.54%,74.4,64.33,64.98,64.8
300224,正海磁材,14.79,10.95%,1.46,954291,1389630472.45,14.4%,15.25,13.33,13.4,13.33
300353,东土科技,20.72,10.8%,2.02,1289901,2665395705.89,17.59%,22.0,18.71,18.71,18.7
300276,三丰智能,13.88,10.69%,1.34,1877715,2582243552.22,15.31%,14.5,12.58,12.58,12.54
301396,宏景科技,78.39,10.63%,7.53,154805,1178048041.22,12.97%,80.29,71.1,71.34,70.86
002146,荣盛发展,1.61,10.27%,0.15,1140827,183672556.0,0.68%,1.61,1.6,1.61,1.46
600370,三房巷,1.94,10.23%,0.18,600688,114388677.0,11.36%,1.94,1.74,1.74,1.76
300307,慈星股份,10.8,10.2%,1.0,934706,975407463.59,15.82%,11.1,9.55,9.68,9.8
300167,*ST迪威,3.78,10.2%,0.35,308993,110739602.95,18.37%,3.96,3.33,3.42,3.43
600468,百利电气,5.34,10.1%,0.49,1739351,877700800.0,11.96%,5.34,4.76,5.0,4.85
